date,review_count
2018-04-15,52.0
2018-04-22,51.75
2018-04-29,52.5
2018-05-06,60.5
2018-05-13,65.25
2018-05-20,70.25
2018-05-27,71.75
2018-06-03,75.0
2018-06-10,81.0
2018-06-17,80.25
2018-06-24,81.25
2018-07-01,80.25
2018-07-08,76.25
2018-07-15,84.0
2018-07-22,87.0
2018-07-29,85.75
2018-08-05,86.25
2018-08-12,82.75
2018-08-19,81.0
2018-08-26,85.5
2018-09-02,86.25
2018-09-09,85.0
2018-09-16,85.5
2018-09-23,82.75
2018-09-30,84.5
2018-10-07,85.0
2018-10-14,85.0
2018-10-21,84.25
2018-10-28,80.5
2018-11-04,79.5
2018-11-11,75.0
2018-11-18,67.5
2018-11-25,61.5
2018-12-02,52.0
2018-12-09,48.0
2018-12-16,46.0
2018-12-23,42.25
2018-12-30,41.5
2019-01-06,43.25
2019-01-13,43.25
2019-01-20,44.25
2019-01-27,44.25
2019-02-03,43.75
2019-02-10,47.75
2019-02-17,51.75
2019-02-24,57.25
2019-03-03,57.25
2019-03-10,60.5
2019-03-17,63.75
2019-03-24,70.5
2019-03-31,79.5
2019-04-07,78.75
2019-04-14,83.5
2019-04-21,77.75
2019-04-28,79.0
2019-05-05,86.5
2019-05-12,91.5
2019-05-19,99.5
2019-05-26,100.25
2019-06-02,103.75
2019-06-09,103.25
2019-06-16,108.0
2019-06-23,107.75
2019-06-30,102.75
2019-07-07,102.5
2019-07-14,98.75
2019-07-21,99.5
2019-07-28,102.5
2019-08-04,100.75
2019-08-11,102.0
2019-08-18,102.25
2019-08-25,103.25
2019-09-01,103.75
2019-09-08,100.0
2019-09-15,99.25
2019-09-22,101.75
2019-09-29,104.25
2019-10-06,109.0
2019-10-13,110.5
2019-10-20,105.0
2019-10-27,100.75
2019-11-03,97.25
2019-11-10,90.75
2019-11-17,78.75
2019-11-24,73.0
2019-12-01,66.25
2019-12-08,62.5
2019-12-15,65.0
2019-12-22,63.5
2019-12-29,58.25
2020-01-05,57.0
2020-01-12,56.25
2020-01-19,54.0
2020-01-26,56.75
2020-02-02,54.0
2020-02-09,53.25
2020-02-16,52.0
2020-02-23,53.25
2020-03-01,54.5
2020-03-08,56.75
2020-03-15,60.0
2020-03-22,51.75
2020-03-29,40.75
2020-04-05,26.5
2020-04-12,10.75
2020-04-19,3.5
2020-04-26,3.5
2020-05-03,4.0
2020-05-10,6.5
2020-05-17,8.5
2020-05-24,12.0
2020-05-31,13.75
2020-06-07,16.0
2020-06-14,19.25
2020-06-21,19.5
2020-06-28,20.75
2020-07-05,19.25
2020-07-12,19.25
